1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Mojsijeva 9,14       Pa kad oblake navučem na zemlju, vidjeće se duga u oblacima,
1. Mojsijeva 9,15       I opomenuću se zavjeta svojega koji je između mene i vas i svake duše žive u svakom tijelu, i neće više biti od vode potopa da zatre svako tijelo.
1. Mojsijeva 9,16       Duga će biti u oblacima, pa ću je pogledati, i opomenuću se vječnoga zavjeta između Boga i svake duše žive u svakom tijelu koje je na zemlji.
1. Mojsijeva 9,17       I reče Bog Noju: to je znak zavjeta koji sam učinio između sebe i svakoga tijela na zemlji.
1. Mojsijeva 9,18       A bijahu sinovi Nojevi koji izidoše iz kovčega: Sim i Ham i Jafet; a Ham je otac Hanancima.
1. Mojsijeva 9,19       To su tri sina Nojeva, i od njih se naseli sva zemlja.
1. Mojsijeva 9,20       A Noje poče raditi zemlju, i posadi vinograd.
1. Mojsijeva 9,21       I napiv se vina opi se, i otkri se nasred šatora svojega.
1. Mojsijeva 9,22       A Ham, otac Hanancima, vidje golotinju oca svojega, i kaza obojici braće svoje na polju.
1. Mojsijeva 9,23       A Sim i Jafet uzeše haljinu, i ogrnuše je obojica na ramena svoja, i idući natraške pokriše njom golotinju oca svojega, licem natrag okrenuvši se da ne vide golotinje oca svojega.
1. Mojsijeva 9,24       A kad se Noje probudi od vina, dozna šta mu je učinio mlađi sin,
1. Mojsijeva 9,25       I reče: proklet da je Hanan, i da bude sluga slugama braće svoje!
1. Mojsijeva 9,26       I još reče: blagosloven da je Gospod Bog Simov, i Hanan da mu bude sluga!
1. Mojsijeva 9,27       Bog da raširi Jafeta da živi u šatorima Simovijem, a Hanan da im bude sluga!
1. Mojsijeva 9,28       I poživje Noje poslije potopa trista i pedeset godina.
1. Mojsijeva 9,29       A svega poživje Noje devet stotina i pedeset godina; i umrije.
1. Mojsijeva 10,1       A ovo su plemena sinova Nojevijeh, Sima, Hama i Jafeta, kojima se rodiše sinovi poslije potopa.
1. Mojsijeva 10,2       Sinovi Jafetovi: Gomer i Magog i Madaj i Javan i Tovel i Meseh i Tiras.
1. Mojsijeva 10,3       A sinovi Gamerovi: Ashenas i Rifat i Togarma.
1. Mojsijeva 10,4       A sinovi Javanovi: Elisa i Tarsis, Kitim i Dodanim.
1. Mojsijeva 10,5       Od njih se razdijeliše ostrva narodna na zemljama svojim, svako po jeziku svojemu i po porodicama svojim, u narodima svojim.
1. Mojsijeva 10,6       A sinovi Hamovi: Hus i Mesrain, Fud i Hanan.
1. Mojsijeva 10,7       A sinovi Husovi: Sava i Evila i Savata i Regma i Savataka. A sinovi Regmini: Sava i Dadan.
1. Mojsijeva 10,8       Hus rodi i Nevroda; a on prvi bi silan na zemlji;
1. Mojsijeva 10,9       Bješe dobar lovac pred Gospodom; zato se kaže: dobar lovac pred Gospodom kao Nevrod.
1. Mojsijeva 10,10      A početak carstvu njegovu bješe Vavilon i Oreh i Arhad i Halani u zemlji Senaru.
1. Mojsijeva 10,11      Iz te zemlje izađe Asur, i sazida Nineviju i Rovot grad i Halah,
1. Mojsijeva 10,12      I Dasem između Ninevije i Halaha; to je grad velik.
1. Mojsijeva 10,13      A Mesrain rodi Ludeje i Enemeje i Laveje i Neftaleje,
1. Mojsijeva 10,14      I Patroseje i Hasmeje, odakle izađoše Filisteji i Gaftoreji.
1. Mojsijeva 10,15      A Hanan rodi Sidona, prvenca svojega, i Heta,
1. Mojsijeva 10,16      I Jevuseja i Amoreja i Gergeseja,
1. Mojsijeva 10,17      I Eveja i Arukeja i Aseneja,
1. Mojsijeva 10,18      I Aradeja i Samareja i Amateja. A poslije se rasijaše plemena Hananejska.
1. Mojsijeva 10,19      I bjehu međe Hananejske od Sidona idući na Gerar pa do Gaze, i idući na Sodom i Gomor i Adamu i Sevojim pa do Dasa.
1. Mojsijeva 10,20      To su sinovi Hamovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim.
1. Mojsijeva 10,21      I Simu rodiše se sinovi, najstarijemu bratu Jafetovu, ocu svijeh sinova Everovijeh.
1. Mojsijeva 10,22      Sinovi Simovi bjehu: Elam i Asur i Arfaksad i Lud i Aram.
1. Mojsijeva 10,23      A sinovi Aramovi: Uz i Ul i Gater i Mas.
1. Mojsijeva 10,24      A arfaksad rodi Salu, a Sala rodi Evera.
1. Mojsijeva 10,25      A Everu se rodiše dva sina: jednom bješe ime Falek, jer se u njegovo vrijeme razdijeli zemlja, a bratu njegovu ime Jektan.
1. Mojsijeva 10,26      A Jektan rodi Elmodada i Saleta i Sarmota i Jaraha,
1. Mojsijeva 10,27      I Odora i Evila i Deklu,
1. Mojsijeva 10,28      I Evala i Avimaila i Savu,
1. Mojsijeva 10,29      I Ufira i Evilu i Jovava; ti svi bjehu sinovi Jektanovi.
1. Mojsijeva 10,30      I življahu od Mase, kako se ide na Safir do gora istočnijeh.
1. Mojsijeva 10,31      To su sinovi Simovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim;
1. Mojsijeva 10,32      To su porodice sinova Nojevijeh po plemenima svojim, u narodima svojim; i od njih se razdijeliše narodi po zemlji poslije potopa.
1. Mojsijeva 11,1       A bijaše na cijeloj zemlji jedan jezik i jednake riječi.
1. Mojsijeva 11,2       A kad otidoše od istoka, nađoše ravnicu u zemlji Senarskoj, i naseliše se ondje.
1. Mojsijeva 11,3       Pa rekoše među sobom: hajde da pravimo ploče i da ih u vatri pečemo. I bjehu im opeke mjesto kamena i smola zemljana mjesto kreča.
1. Mojsijeva 11,4       Poslije rekoše: hajde da sazidamo grad i kulu, kojoj će vrh biti do neba, da stečemo sebi ime, da se ne bismo rasijali po zemlji.
1. Mojsijeva 11,5       A Gospod siđe da vidi grad i kulu, što zidahu sinovi čovječiji.
1. Mojsijeva 11,6       I reče Gospod: gle, narod jedan, i jedan jezik u svijeh, i to počeše raditi, i neće im smetati ništa da ne urade što su naumili.
1. Mojsijeva 11,7       Hajde da siđemo, i da im pometimo jezik, da ne razumiju jedan drugoga što govore.
1. Mojsijeva 11,8       Tako ih Gospod rasu odande po svoj zemlji, te ne sazidaše grada.
1. Mojsijeva 11,9       Zato se prozva Vavilon, jer ondje pomete Gospod jezik cijele zemlje, i odande ih rasu Gospod po svoj zemlji.
1. Mojsijeva 11,10      Ovo je pleme Simovo: bijaše Simu sto godina, kad rodi Arfaksada, druge godine poslije potopa.
1. Mojsijeva 11,11      A rodiv Arfaksada poživje Sim pet stotina godina, rađajući sinove i kćeri.
1. Mojsijeva 11,12      A Arfaksad poživje trideset i pet godina, i rodi Salu;
1. Mojsijeva 11,13      A rodiv Salu poživje Arfaksad četiri stotine i tri godine, rađajući sinove i kćeri.
1. Mojsijeva 11,14      A Sala poživje trideset godina, i rodi Evera;
1. Mojsijeva 11,15      A rodiv Evera poživje Sala četiri stotine i tri godine, rađajući sinove i kćeri.
1. Mojsijeva 11,16      A Ever poživje trideset i četiri godine, i rodi Faleka;
1. Mojsijeva 11,17      A rodiv Faleka poživje Ever četiri stotine i trideset godina, rađajući sinove i kćeri.
1. Mojsijeva 11,18      A Falek poživje trideset godina i rodi Ragava;
1. Mojsijeva 11,19      A rodiv Ragava poživje Falek dvjesta i devet godina, rađajući sinove i kćeri.
1. Mojsijeva 11,20      A Ragav poživje trideset i dvije godine i rodi Seruha;
1. Mojsijeva 11,21      A rodiv Seruha poživje Ragav dvjesta i sedam godina, rađajući sinove i kćeri.
1. Mojsijeva 11,22      A Seruh poživje trideset godina, i rodi Nahora;
1. Mojsijeva 11,23      A rodiv Nahora poživje Seruh dvjesta godina, rađajući sinove i kćeri.
1. Mojsijeva 11,24      A Nahor poživje dvadeset i devet godina, i rodi Taru;
1. Mojsijeva 11,25      A rodiv Taru poživje Nahor sto i devetnaest godina, rađajući sinove i kćeri.
1. Mojsijeva 11,26      A Tara poživje sedamdeset godina, i rodi Avrama, Nahora i Arana.
1. Mojsijeva 11,27      A ovo je pleme Tarino: Tara rodi Avrama, Nahora i Arana; a Aran rodi Lota.
1. Mojsijeva 11,28      I umrije Aran prije Tare oca svojega na postojbini svojoj, u Uru Haldejskom.
1. Mojsijeva 11,29      I oženi se Avram i Nahor, i ženi Avramovoj bješe ime Sara a ženi Nahorovoj ime Melha, kći Arama oca Melhe i Jeshe.
1. Mojsijeva 11,30      A Sara bješe nerotkinja, i ne imaše poroda.
1. Mojsijeva 11,31      I uze Tara sina svojega Avrama i Lota sina Aronova, unuka svojega, i Saru snahu svoju, ženu Avrama sina svojega; i pođoše zajedno iz Ura Haldejskoga da idu u zemlju Hanansku, i dođoše do Harana, i ondje se nastaniše.
1. Mojsijeva 11,32      I poživje Tara svega dvjesta i pet godina; i umrije Tara u Haranu.
1. Mojsijeva 12,1       I reče Gospod Avramu: idi iz zemlje svoje i od roda svojega i iz doma oca svojega u zemlju koju ću ti ja pokazati.
1. Mojsijeva 12,2       I učiniću od tebe velik narod, i blagosloviću te, i ime tvoje proslaviću, i ti ćeš biti blagoslov.
1. Mojsijeva 12,3       Blagosloviću one koji tebe uzblagosiljaju, i prokleću one koji tebe usproklinju; i u tebi će biti blagoslovena sva plemena na zemlji.
1. Mojsijeva 12,4       Tada pođe Avram, kao što mu kaza Gospod, i s njim pođe Lot. A bješe Avramu sedamdeset i pet godina kad pođe iz Harana.
1. Mojsijeva 12,5       I uze Avram Saru ženu svoju i Lota sina brata svojega sa svijem blagom koje bjehu stekli i s dušama koje bjehu dobili u Haranu; i pođoše u zemlju Hanansku, i dođoše u nju.
1. Mojsijeva 12,6       I prođe Avram tu zemlju do mjesta Sihema i do ravnice Moreške; a bijahu tada Hananeji u toj zemlji.
1. Mojsijeva 12,7       I javi se Gospod Avramu i reče: tvojemu sjemenu daću zemlju ovu. I Avram načini ondje žrtvenik Gospodu, koji mu se javio.
1. Mojsijeva 12,8       Poslije otide odande na brdo koje je prema istoku od Vetilja, i ondje razape šator svoj, te mu Vetilj bješe sa zapada a Gaj s istoka; i ondje načini Gospodu žrtvenik, i prizva ime Gospodnje.
1. Mojsijeva 12,9       Odande otide Avram dalje idući na jug.
1. Mojsijeva 12,10      Ali nasta glad u onoj zemlji, te Avram siđe u Misir da se ondje skloni; jer glad bješe velika u onoj zemlji.
1. Mojsijeva 12,11      A kad se približi da već uđe u Misir, reče Sari ženi svojoj: gle, znam da si žena lijepa u licu.
1. Mojsijeva 12,12      Zato kad te vide Misirci reći će: ovo mu je žena. Pa će me ubiti, a tebe će ostaviti u životu.
1. Mojsijeva 12,13      Nego hajde kaži da si mi sestra, te će meni biti dobro tebe radi i ostaću u životu uz tebe.
1. Mojsijeva 12,14      I kad dođe Avram u Misir, vidješe Misirci ženu da je vrlo lijepa.
1. Mojsijeva 12,15      I vidješe je knezovi Faraonovi, i hvališe je pred Faraonom. I uzeše je u dvor Faraonov.
1. Mojsijeva 12,16      I on činjaše dobro Avramu nje radi, te imaše ovaca i goveda i magaraca i sluga i sluškinja i magarica i kamila.
1. Mojsijeva 12,17      Ali Gospod pusti velika zla na Faraona i na dom njegov radi Sare žene Avramove.
1. Mojsijeva 12,18      Tada dozva Faraon Avrama i reče mu: šta mi to učini? zašto mi nijesi kazao da ti je žena?
1. Mojsijeva 12,19      Zašto si kazao: sestra mi je? te je uzeh za ženu. Sad eto ti žene, uzmi je, pa idi.
1. Mojsijeva 12,20      I Faraon zapovjedi ljudima za nj, te ga ispratiše i ženu njegovu i što god imaše.
1. Mojsijeva 13,1       Tako otide Avram iz Misira gore na jug, on i žena mu i sve što imaše, također i Lot s njim.
1. Mojsijeva 13,2       A bijaše Avram vrlo bogat stokom, srebrom i zlatom.
1. Mojsijeva 13,3       I iđaše svojim putovima od juga sve do Vetilja, do mjesta gdje mu prvo bijaše šator, između Vetilja i Gaja,
1. Mojsijeva 13,4       Do mjesta, gdje pređe bješe načinio žrtvenik; i ondje prizva Avram ime Gospodnje.
1. Mojsijeva 13,5       A i Lot koji iđaše s Avramom imaše ovaca i goveda i šatora.
1. Mojsijeva 13,6       I zemlja ne mogaše ih nositi zajedno, jer blago njihovo bijaše veliko da ne mogahu živjeti zajedno,
1. Mojsijeva 13,7       I bijaše svađa među pastirima Avramove stoke i pastirima Lotove stoke. A u to vrijeme življahu Hananeji i Ferezeji u onoj zemlji.
1. Mojsijeva 13,8       Pa Avram reče Lotu: nemoj da se svađamo ja i ti, ni moji pastiri i tvoji pastiri; jer smo braća.
1. Mojsijeva 13,9       Nije li ti otvorena cijela zemlja? Odijeli se od mene. Ako ćeš ti na lijevo, ja ću na desno; ako li ćeš ti na desno, ja ću na lijevo.
1. Mojsijeva 13,10      Tada Lot podiže oči svoje i sagleda svu ravnicu Jordansku, kako cijelu natapaše rijeka, bješe kao vrt Gospodnji, kao zemlja Misirska, sve do Zagora, prije nego Gospod zatr Sodom i Gomor.
1. Mojsijeva 13,11      I Lot izabra sebi svu ravnicu Jordansku, i otide Lot na istok; i razdijeliše se jedan od drugoga:
1. Mojsijeva 13,12      Avram življaše u zemlji Hananskoj, a Lot življaše po gradovima u onoj ravnici premještajući svoje šatore do Sodoma.
1. Mojsijeva 13,13      A ljudi u Sodomu bijahu nevaljali, i griješahu Gospodu veoma.
1. Mojsijeva 13,14      A Gospod reče Avramu, pošto se Lot odijeli od njega: podigni sada oči svoje, pa pogledaj s mjesta gdje si na sjever i na jug i na istok i na zapad.
1. Mojsijeva 13,15      Jer svu zemlju što vidiš tebi ću dati i sjemenu tvojemu do vijeka.
1. Mojsijeva 13,16      I učiniću da sjemena tvojega bude kao praha na zemlji; ako ko uzmože izbrojiti prah na zemlji, moći će izbrojiti i sjeme tvoje.
1. Mojsijeva 13,17      Ustani, i prolazi tu zemlju u dužinu i u širinu; jer ću je tebi dati.
1. Mojsijeva 13,18      I Avram diže šatore, i dođe i naseli se u ravnici Mamrijskoj, koja je kod Hevrona, i ondje načini žrtvenik Gospodu.
1. Mojsijeva 14,1       A kad bješe Amarfal car Senarski, Arion car Elasarski, Hodologomor car Elamski i Targal car Gojimski,
1. Mojsijeva 14,2       Zavojštiše na Valu cara Sodomskoga, i na Varsu cara Gomorskoga, i na Senara cara Adamskoga, i na Simovora cara Sevojimskoga i na cara od Valake, koji je sada Sigor.
1. Mojsijeva 14,3       Svi se ovi skupiše u dolini Sidimskoj, koja je sada slano more.
1. Mojsijeva 14,4       Dvanaest godina bjehu služili Hodologomoru, pa trinaeste godine odmetnuše se.
1. Mojsijeva 14,5       A četrnaeste godine dođe Hodologomor i carevi koji bijahu s njim, i pobiše Rafaje u Astarotu Karnajimskom i Zuzeje u Amu i Omeje u polju Kirijatajskom,
1. Mojsijeva 14,6       I Horeje u planini njihovoj Siru do ravnice Faranske pokraj pustinje.
1. Mojsijeva 14,7       Otuda vrativši se dođoše u En-Mispat, koji je sada Kadis, i isjekoše sve koji življahu u zemlji Amaličkoj, i Amoreje koji življahu u Asason-Tamaru.
1. Mojsijeva 14,8       Tada izide car Sodomski i car Gomorski i car Adamski i car Sevojimski i car od Valahe, koja je sada Sigor, izidoše na njih u dolinu Sidimsku,
1. Mojsijeva 14,9       Na Hodologomora cara Elamskoga, i na Targala cara Gojimskoga, i na Amarfala cara Senarskoga, i na Arioha cara Elasarskoga, četiri cara na pet.
1. Mojsijeva 14,10      A u dolini Sidimskoj bijaše mnogo rupa iz kojih se vadila smola; i pobježe car Sodomski i car Gomorski, i ondje padoše, a što osta pobježe u planinu.
1. Mojsijeva 14,11      I uzeše sve blago u Sodomu i Gomoru i svu hranu njihovu, i otidoše.
1. Mojsijeva 14,12      Uzeše i Lota, sinovca Avramova, i blago njegovo, i otidoše, jer življaše u Sodomu.
1. Mojsijeva 14,13      A dođe jedan koji bješe utekao, te javi Avramu Jevrejinu, koji življeše u ravni Mamrija Amorejina, brata Esholu i brata Avnanu, koji bjehu u vjeri s Avramom.
1. Mojsijeva 14,14      A kad Avram ču da mu se zarobio sinovac, naoruža sluge svoje, trista osamnaest, koji se rodiše u njegovoj kući, i pođe u potjeru do Dana.
1. Mojsijeva 14,15      Ondje razredivši svoje udari na njih noću sa slugama svojim, i razbi ih, i otjera ih do Hovala, koji je na lijevo od Damaska,
1. Mojsijeva 14,16      I povrati sve blago; povrati i Lota sinovca svojega s blagom njegovijem, i žene i ljude.
1. Mojsijeva 14,17      A car Sodomski izide mu na susret kad se vrati razbivši Hodologomora i careve što bijahu s njim, u dolinu Savinu, koje je sada dolina careva.
1. Mojsijeva 14,18      A Melhisedek car Salimski iznese hljeb i vino; a on bijaše sveštenik Boga višnjega.
1. Mojsijeva 14,19      I blagoslovi ga govoreći: blagosloven da je Avram Bogu višnjemu, čije je nebo i zemlja!
1. Mojsijeva 14,20      I blagosloven da je Bog višnji, koji predade neprijatelje tvoje u ruke tvoje! I dade mu Avram desetak od svega.
1. Mojsijeva 14,21      A car Sodomski reče Avramu: daj meni ljude, a blago uzmi sebi.
1. Mojsijeva 14,22      A Avram reče caru Sodomskom: dižem ruku svoju ka Gospodu Bogu višnjemu, čije je nebo i zemlja, zaklinjući se:
1. Mojsijeva 14,23      Ni konca ni remena od obuće neću uzeti od svega što je tvoje, da ne rečeš: ja sam obogatio Avrama;
1. Mojsijeva 14,24      Osim što su pojeli momci, i osim dijela ljudima koji su išli sa mnom, Esholu, Avnanu i Mamriju, oni neka uzmu svoj dio.
1. Mojsijeva 15,1       Poslije ovijeh stvari dođe Avramu riječ Gospodnja u utvari govoreći: ne boj se, Avrame, ja sam ti štit, i plata je tvoja vrlo velika.
1. Mojsijeva 15,2       A Avram reče: Gospode, Gospode, šta ćeš mi dati kad živim bez djece, a na kom će ostati moja kuća to je Elijezer ovaj Damaštanin?
1. Mojsijeva 15,3       Još reče Avram: eto meni nijesi dao poroda, pa će sluga rođen u kući mojoj biti moj našljednik.
1. Mojsijeva 15,4       A gle, Gospod mu progovori: neće taj biti našljednik tvoj, nego koji će izaći od tebe taj će ti biti našljednik.
1. Mojsijeva 15,5       Pa ga izvede napolje i reče mu: pogledaj na nebo i prebroj zvijezde, ako ih možeš prebrojiti. I reče mu: tako će ti biti sjeme tvoje.
1. Mojsijeva 15,6       I povjerova Avram Bogu, a on mu primi to u pravdu.
1. Mojsijeva 15,7       I reče mu: ja sam Gospod, koji te izvedoh iz Ura Haldejskoga da ti dam zemlju ovu da bude tvoja.
1. Mojsijeva 15,8       A on reče: Gospode, Gospode, po čemu ću poznati da će biti moja?
1. Mojsijeva 15,9       I reče mu: prinesi mi junicu od tri godine i kozu od tri godine i ovna od tri godine i grlicu i golupče.
1. Mojsijeva 15,10      I on uze sve to, i rasiječe na pole, i metnu sve pole jednu prema drugoj; ali ne rasiječe ptica.
1. Mojsijeva 15,11      A ptice slijetahu na te mrtve životinje; a Avram ih odgonjaše.
